Job Title,Company Name,Classification,Job Type,Location,Job Highlights,Job Description,Salary,Posting Date,Reference
Site Manager,A W Edwards,Foreperson/Supervisors,Full time job,Huntingwood,"['Excellent job security, long pipeline of major projects', 'Award-winning Global organisation', 'Strong remuneration packages on offer for the right people']",Opportunity to join AW Edwards as a Site Manager on major projects throughout Sydney - Be part of an outstanding team,Not Provided,2d ago,https://www.seek.com.au/job/80817233?type=standout&ref=search-standalone
Medical Laboratory Scientist,NSW Health Pathology,Pathology,Full time job,Randwick,[],"Employment Type: Permanent Full Time Position Classification: Scientific Officer Remuneration: $73,440.82 - $104,751.61 per annum plus superannuati","$73,440 - $104,751",2d ago,https://www.seek.com.au/job/80817210?type=standard&ref=search-standalone
Contracts Manager,A W Edwards,Contracts Management,Full time job,Ryde,"['Local excellence and global reach - A leading Construction company in NSW', 'Excellent Salary packages and opportunities for career advancement', 'Long-term, secure employment with an extensive commercial pipeline of work']",Contracts Manager role available working initially on a major data centre in Sydney - Take your career to the next level with an employer of choice!,Not Provided,2d ago,https://www.seek.com.au/job/80817184?type=standout&ref=search-standalone
"Finance Analyst- Faculty of Arts, Design & Architecture",University of New South Wales,Analysis & Reporting,Full time job,Kensington,[],"Work across all phases of financial planning, forecasting, modelling and reporting, to support sound financial decisions in the faculty",$110k-$119k + 17% flexible super and leave loading,2d ago,https://www.seek.com.au/job/80817170?type=standard&ref=search-standalone
Middleware/AI Specialist,Sutherland Shire Council,Developers/Programmers,Contract/Temp job,Sutherland,"['Join a dynamic team focused on enhancing customer and employee experiences', 'Work with cutting-edge technologies in a supportive environment', 'Contribute to the strategic objectives']",Drive innovation through AI-driven solutions and seamless system integrations,Not Provided,2d ago,https://www.seek.com.au/job/80817138?type=standout&ref=search-standalone
Senior Technical Business Analyst,The Recruitment Company,Business/Systems Analysts,Contract/Temp job,Sydney NSW,[],"Senior Technical Business Analyst
Daily Rate Contract
Sydney CBD 3 Days Office 2 Days WFH
Market Leading Australian Manufacturing Business",Daily Rate Negotiable Depending on Experience,2d ago,https://www.seek.com.au/job/80817120?type=standout&ref=search-standalone
Algorithms Engineer,TheDriveGroup,Engineering - Software,Full time job,Sydney NSW,[],Work on cutting-edge algorithmic solutions on various high-level projects,$180k + super,2d ago,https://www.seek.com.au/job/80817101?type=standard&ref=search-standalone
Senior Retentions Specialist,B & K Consulting,Other,Full time job,Sydney NSW,"['A fantastic role for an experienced retentions specialist', 'Great salary packaging', 'Fantastic hybrid working']",This is fantastic opportunity for an experienced sales and service professional to join a leading auto finance company,"$100,000 - $160,000 + Superannuation",2d ago,https://www.seek.com.au/job/80817070?type=standout&ref=search-standalone
Commissioning Manager,A W Edwards,Building Services Engineering,Full time job,Kemps Creek,"['Leading Data Centre builder in NSW', 'Excellent remuneration and career advancement opportunties', 'Highly experienced and large project team']",Highly experienced Commissioning Manager to work on a $800m Data Centre project in Western Sydney - Outstanding opportunity to work on a Mega-scale DC,Not Provided,2d ago,https://www.seek.com.au/job/80817024?type=standout&ref=search-standalone
Recruitment Consultant,Bluefin Resources Pty Limited,Recruitment - Agency,Full time job,Sydney NSW,[],"Take your recruitment career to new heights at Bluefin Resources! Opportunities available in Sydney, Melbourne and Brisbane!","$75,000 – $105,000 per year",2d ago,https://www.seek.com.au/job/80817008?type=standard&ref=search-standalone
Senior Analyst Developer - Enterprise Systems,Reserve Bank of Australia,Developers/Programmers,Contract/Temp job,Sydney NSW,"['12 month fixed term contract', 'CBD location', 'Hybrid working arrangement']",Opportunity to join the RBA as a Senior Analyst Developer on a 12-month fixed term contract.,Not Provided,2d ago,https://www.seek.com.au/job/80816958?type=standout&ref=search-standalone
Professional Experience Coordinator,SCU Ventures,Student Services,Full time job,Sydney NSW,"['Collaborative role working across faculties', 'Campus location near Circular Quay', 'Supportive team culture']",The Professional Experience Coordinator assists Course Coordinators at SCU in coordinating work integrated learning in Sydney Campus course offerings.,Not Provided,2d ago,https://www.seek.com.au/job/80816496?type=standout&ref=search-standalone
HR Systems Business Analyst,I-MED Radiology Network,Business/Systems Analysts,Contract/Temp job,Sydney NSW,[],Play a key role in the renovation and integration of our P&C systems. Lead the transformation of business process across the P&C teams,Not Provided,2d ago,https://www.seek.com.au/job/80816186?type=standout&ref=search-standalone
Supply Chain Analyst,Lynch Staffing Pty Ltd,Analysis & Reporting,Contract/Temp job,Northmead,[],Our Client is an international beverage company based in Northmead and are currently seeking an experienced supply chain analyst to join.,$40 - $44.99 per hour,2d ago,https://www.seek.com.au/job/80815923?type=standard&ref=search-standalone
Senior Data Engineer,Gallagher,Engineering - Software,Full time job,Sydney NSW,"['Lead Projects that enhance business performance + decision-making', 'Experience NZ’s work-life balance + stunning landscapes', 'Development Opportunities + Career Growth within a Global Tech Company']","Based at Gallagher HQ in Hamilton, NZ; lead cutting-edge BI solutions + drive insights to shape the future of our global operations.",Not Provided,2d ago,https://www.seek.com.au/job/80815620?type=standout&ref=search-standalone
"Senior Manager, Strategy & BizOps",Atlassian,Strategy & Planning,Full time job,Sydney NSW,[],Atlassian is seeking a Senior Manager of Strategy and Business Operations to help drive our ITSM strategy and projects. You will report to Group Ma...,Not Provided,2d ago,https://www.seek.com.au/job/80815345?type=standard&ref=search-standalone
"Assistant Director, Cyber Analyst",NDIS Quality and Safeguards Commission,Government - Federal,Full time job,Penrith,"[""Work from any of the NDIS Commission's offices located across Australia"", 'Flexible and hybrid work options', 'Generous entitlements, including paid Christmas closure leave']",Exciting new role in cyber security and ICT governance,Annualised salary + 15.4% superannuation,2d ago,https://www.seek.com.au/job/80814692?type=standout&ref=search-standalone
IT infrastructure Egnineer - DBA/MW,Hyundai Autoever Corp.,Database Development & Administration,Full time job,Macquarie Park,[],We are looking for a great IT infrastructure engineer (DBA/MW) for a newly created position.,Not Provided,2d ago,https://www.seek.com.au/job/80814648?type=standout&ref=search-standalone
Talent Acquisition Specialist,Kpay Merchant Service (Australia) Pty Ltd,Recruitment - Internal,Full time job,Sydney NSW,[],Join KPay as a Talent Acquisition Specialist to drive recruitment and support our fintech expansion in Australia. Make an impact!,"$6,000 – $10,000 per month",2d ago,https://www.seek.com.au/job/80812634?type=standard&ref=search-standalone
Business Analyst - Banking Financial Crime,Talenza,Business/Systems Analysts,Contract/Temp job,Sydney NSW,[],Business Analyst - Banking Financial Crime,$700 - $810 p.d. + plus super,3d ago,https://www.seek.com.au/job/80812027?type=standard&ref=search-standalone
Senior Property Analyst,Perigon Group Pty Limited,Analysts,Full time job,Sydney NSW,"['Circa $165-185k package (inc bonus)', 'Seeking previous property/investment or valuations experience', 'Office, commercial, retail, industrial, hotel assets']","Working closely with property teams you'll look after day-to-day analysis of the Group's investment assets and development pipeline, including managem",Circa $165-185k package (inc bonus),4d ago,https://www.seek.com.au/job/80806678?type=standout&ref=search-standalone
Senior Associate - Employment Law,EY,Industrial Relations & Employment Law,Full time job,Sydney NSW,[],"EY Law Oceania is a trusted, global, integrated practice offering a differentiated approach to delivering legal services.",Not Provided,4d ago,https://www.seek.com.au/job/80806434?type=standout&ref=search-standalone
Channel Renewal Analyst (Bilingual Korean/English),SALT SEARCH PTY LTD,Other,Contract/Temp job,Sydney NSW,"['Leading Global Software Enterprise', '12 month contract and view to extend', 'Fully remote role for a Korean/English speaking Sales support professional']","Channel Renewal Analyst / Sales Support (Bilingual Korean/English)
Fully Remote (Australia, preferably Sydney)
Contract: 12-month contract",Not Provided,4d ago,https://www.seek.com.au/job/80805958?type=standout&ref=search-standalone
Referral and Affiliate Operations Manager,Binance,Digital & Search Marketing,Full time job,Sydney NSW,[],"Manage and optimize existing affiliate programs to ensure maximum performance and efficiency.
Launch new affiliate programs, expanding the affiliat...",Not Provided,4d ago,https://www.seek.com.au/job/80805971?type=standard&ref=search-standalone
"Research Associate- Infection Analytics Program, The Kirby Institute",University of New South Wales,Clinical/Medical Research,Full time job,Kensington,[],The Research Associates will assist the IAP team in evidence synthesis and creating the Framework for Evidence Evaluation in Vaccine Assessment.,Not Provided,4d ago,https://www.seek.com.au/job/80805299?type=standard&ref=search-standalone
Staff Data Scientist,TheDriveGroup,Engineering - Software,Full time job,Sydney NSW,[],Utilise your extensive Data Science and ML Engineering skillset to build a unique LLM-based SaaS product and revolutionise a crucial industry!,Up to $180k + super,4d ago,https://www.seek.com.au/job/80804375?type=standard&ref=search-standalone
CSIRT Security Analyst in Sydney,WiseTech Global,Security,Full time job,Sydney NSW,[],"You will help in building out a new CSIRT department inside our Information Security area of the business that provides incident response, threat h...",Not Provided,4d ago,https://www.seek.com.au/job/80804269?type=standard&ref=search-standalone
Graduate Operations Analyst: 2026,Susquehanna Pacific Pty Ltd,Stockbroking & Trading,Full time job,Sydney NSW,[],"The Operations Analyst development program will prepare you for a full-time Operations Analyst position at Susquehanna. Throughout the program, you...",Not Provided,4d ago,https://www.seek.com.au/job/80804253?type=standard&ref=search-standalone
Content Marketing Specialist,Investorkit pty ltd,Marketing Communications,Full time job,Sydney NSW,[],"Drive impactful content strategies, craft compelling campaigns, and optimise customer journeys in a dynamic, fully remote role with growth potential!","$90,000 per year + bonus",4d ago,https://www.seek.com.au/job/80800831?type=standout&ref=search-standalone
AI EngineerNew,Karbon,Engineering - Software,Full time job,Sydney NSW,[],Karbon is at the start of its AI journey. You will have the opportunity to shape our product and processes. The successful candidate will be capabl...,Not Provided,4d ago,https://www.seek.com.au/job/80802346?type=standard&ref=search-standalone
Supply Planner,Healthcare Professionals Group,Pharmaceuticals & Medical Devices,Full time job,Sydney NSW,"['Lead inventory planning and collaborate with cross-functional teams', 'Manage stock planning, back-order risks, and support product launches', 'Enjoy a flexible hybrid role and a competitive salary package']","Join a global healthcare leader as a Supply Planner, with flexible working and a competitive salary package.",Competitive Salary Package,4d ago,https://www.seek.com.au/job/80800039?type=standout&ref=search-standalone
Senior Business Analyst | Transaction Reporting,Macquarie Group Limited,Business/Systems Analysts,Full time job,Sydney NSW,[],"As a Senior Business Analyst, you will work closely with a team of Directors in leading and participating in gathering information, evidence and fa...",Not Provided,4d ago,https://www.seek.com.au/job/80801072?type=standard&ref=search-standalone
Registered Nurse,Calvary,Nursing - Aged Care,Casual/Vacation job,Doonside,[],As the Registered Nurse you are responsible for providing clinical leadership to staff and ensuring compliance with legislative requirements to ena...,Not Provided,4d ago,https://www.seek.com.au/job/80801138?type=standard&ref=search-standalone
"Economists, regulatory experts, and payments specialists",Reserve Bank of Australia,Other,Full time job,Sydney NSW,"['Play an important part shaping the future of our iconic Australian institution', 'Have an impact and make a difference']",Exciting opportunity to join the RBA within the economics department.,Not Provided,4d ago,https://www.seek.com.au/job/80797578?type=standout&ref=search-standalone
Digital and Data Architect,Autism Spectrum Australia (Aspect),Architects,Full time job,Chatswood,[],What you will do: design and implement Aspect’s digital architecture and data strategy. Prove out the concepts of technology and opportunities that...,Not Provided,4d ago,https://www.seek.com.au/job/80801009?type=standard&ref=search-standalone
"Technical Business Analyst (SQL, Macros, Python)",FinXL IT Professional Services,Business/Systems Analysts,Full time job,Sydney NSW,[],"Join FinXL as a Technical Business Analyst. Leverage SQL, Excel Macros, and Python to enhance user access management for a leading banking client!",Not Provided,4d ago,https://www.seek.com.au/job/80796918?type=standard&ref=search-standalone
Connected Solutions Kronos UKG WFM Consultant,Accenture,Consultants,Full time job,Sydney NSW,"['Flexible work arrangements | 18 weeks paid parental leave (regardless of gender)', 'Structured career development program | International career opportunities', 'Holistic well-being program including health insurance and paid leave options']",Leverage your UKG Pro expertise to deliver innovative Workforce Management solutions as a Solution Consultant.,Not Provided,4d ago,https://www.seek.com.au/job/80796362?type=standout&ref=search-standalone
Brand Manager - Mrs Mac's,Mrs Mac’s Pty Ltd,Brand Management,Full time job,Rhodes,"['Permanent role on a competitive salary.', 'Centrally located in Rhodes, NSW, with onsite parking.', 'Opportunity to drive business growth for an iconic brand.']",Opportunity for a dynamic and creative Brand Manager to join our Sales & Marketing teams in Sydney.,Not Provided,4d ago,https://www.seek.com.au/job/80796341?type=standout&ref=search-standalone
Senior Data Engineer,NOVA Entertainment,Engineering - Software,Full time job,Pyrmont,[],Join a team that values innovation/collaboration/continuous learning. Help us achieve our vision of being Australia’s leading digital audio leader,Not Provided,4d ago,https://www.seek.com.au/job/80796034?type=standard&ref=search-standalone
Risk - Data & Reporting Analyst,Hawksworth Consulting,Compliance & Risk,Contract/Temp job,Sydney NSW,"['Risk - Data & Reporting Analyst', 'Sydney or Melbourne based', 'Daily rate up to $880 excluding super']",Hawksworth have partnered with a major Financial to on-board a Risk - Data & Reporting Analyst to join them on an initial 8 month contract.,Not Provided,4d ago,https://www.seek.com.au/job/80795583?type=standout&ref=search-standalone
"Director, Business Operations & Strategy",Culture Amp,Management & Change Consulting,Full time job,Sydney NSW,[],"This is a unique opportunity to join our BizOps & Strategy team, whose objective is to help Culture Amp scale faster, in service of the company’s m...",Not Provided,4d ago,https://www.seek.com.au/job/80797301?type=standard&ref=search-standalone
Business Analyst (Fraud & Scam Detection),FinXL IT Professional Services,Business/Systems Analysts,Contract/Temp job,Sydney NSW,[],Join FinXL as a Business Analyst in Fraud and Scam Detection. Drive compliance and innovation for a leading enterprise banking client.,$120k - $125k p.a.,4d ago,https://www.seek.com.au/job/80795110?type=standard&ref=search-standalone
Legal Editor,LexisNexis,Editing & Publishing,Full time job,Sydney NSW,[],The Legal Editor is responsible for maintaining and improving the quality and currency of legal research content across a number of publications wi...,Not Provided,4d ago,https://www.seek.com.au/job/80804194?type=standard&ref=search-standalone
Ad Product Analyst,Foxtel Group,"Media Strategy, Planning & Buying",Full time job,Artarmon,"['Great perks and benefits', 'Dynamic and collaborative team']",If you are a self-driven individual with a passion for the ad tech industry and a desire to grow your skills this could be the role for you.,Not Provided,4d ago,https://www.seek.com.au/job/80794856?type=standout&ref=search-standalone
Retail Talent Specialist,L'Occitane Australia Pty Ltd,Remuneration & Benefits,Full time job,North Sydney,"['Flexible working hours and hyrbid work', 'Generous employee discounts and bi-annual product allowances', 'Great career development']",We are on the lookout for a Full Time Retail Talent Specialist to join our wonderful and supportive P&C team!,Not Provided,4d ago,https://www.seek.com.au/job/80794573?type=standout&ref=search-standalone
Management Consultant,Alchemy Partners,Management & Change Consulting,Full time job,Sydney NSW,[],We are seeking a full-time management consultant to work on client engagements in Sydney supporting the delivery of their transformation agendas.,Not Provided,4d ago,https://www.seek.com.au/job/80794200?type=standout&ref=search-standalone
89901 | EL1 - Data Engineer,National Film and Sound Archive,Business/Systems Analysts,Casual/Vacation job,Woollahra,[],"The Data Engineer will play a key role in enhancing the NFSA’s ability to manage, analyse, and report on data across multiple domains. Working clos...",Not Provided,4d ago,https://www.seek.com.au/job/80797425?type=standard&ref=search-standalone
Digital Marketing Coordinator,Hello Molly Pty Ltd,Digital & Search Marketing,Full time job,Alexandria,"['Competitive salary and generous team discounts.', 'Career progression opportunities in a fast-growing online fashion business.', 'A collaborative, innovative, and diverse team environment.']",Hello Molly is seeking a highly motivated digital pro to join our marketing team!,Not Provided,4d ago,https://www.seek.com.au/job/80792981?type=standout&ref=search-standalone
Sales Support Specialist,ACFS Port Logistics,Other,Full time job,Port Botany,"[""Work with Australia's largest container logistics operator."", 'Gain exposure to diverse logistics verticals and key projects', 'Be mentored by senior leaders in a dynamic, growth-focused role.']","Join ACFS as a Sales Support Specialist! Drive success in logistics with your skills in tenders, data analysis, and customer support.",Not Provided,4d ago,https://www.seek.com.au/job/80792547?type=standout&ref=search-standalone
Business Development Manager,ELMO Software Limited,Management,Full time job,Sydney NSW,[],"At ELMO, our purpose is to unleash the impact of HR. Designed with flexibility and scalability in mind, ELMO's one-stop HR Information System (HRIS...",Not Provided,4d ago,https://www.seek.com.au/job/80797473?type=standard&ref=search-standalone
Research Assistant,Victor Chang Cardiac Research Institute,Biotechnology & Genetics,Full time job,Sydney NSW,"['State of the art facilities', 'Collaborative team environment', 'Continuous learning and development opportunities']",Research Assistant to join our team in exploring the world of cell biology,Not Provided,4d ago,https://www.seek.com.au/job/80792508?type=standout&ref=search-standalone
Postdoctoral Research Associate / Research Fellow,The University of Sydney,Clinical/Medical Research,Contract/Temp job,Darlington,"['Collaborate with Aboriginal and Torres Strait Islander communities', 'Full-time, 14-month fixed-term opportunity (strong possibility of extension)', 'Level A $105,314 - $116,679 OR Level B $122,830 - $145,858 + 17% superannuation']",Exciting opportunity to collaborate with Aboriginal and Torres Strait Islander communities to research culturally inclusive social wellbeing.,Not Provided,4d ago,https://www.seek.com.au/job/80792423?type=standout&ref=search-standalone
Finance Analyst - FP&A,Richard Lloyd Accounting Recruitment,Analysis & Reporting,Full time job,Sydney NSW,"['Value-add and analytical role supporting corporate functions & brands.', 'Hybrid working; 2 days from home, 3 in the office. Join a vibrant culture.', 'Partner with commercial stakeholders to provide insights and advice.']","Opportunity to step into a highly visible, business partnering role. Successful & well-known tech entertainment brand. Report to a supportive Manager.",$125K - $132K + Super + Bonus,4d ago,https://www.seek.com.au/job/80792274?type=standout&ref=search-standalone
EOI: Sessional/Casual Teaching Academic for Data Science,University of Technology Sydney,Teaching - Tertiary,Contract/Temp job,Ultimo,[],Seeking expressions of interest to teach data science subjects on a casual basis,Not Provided,4d ago,https://www.seek.com.au/job/80791891?type=standout&ref=search-standalone
Data Center Engineer – Low Latency Systems,Westbury Partners,Networks & Systems Administration,Full time job,Sydney NSW,"['Work with a leading global finance firm', 'Exceptional rewards , Company Culture and employee Tenure!', '$250K-$500K based on experience']","Design, manage, and optimize cutting-edge data center infrastructure powering global low-latency and HPC systems.",Not Provided,4d ago,https://www.seek.com.au/job/80791884?type=standout&ref=search-standalone
Lead Engineer (Syft Integration),Xero,Engineering - Software,Full time job,Sydney NSW,"['Hands on engineering and technical leadership for a new team!', 'Own the technical direction and lead cross-functional collaboration!', 'Join Xero for great benefits, true flexibility, and a people-first work culture!']","Help to ensure a smooth integration of our recent acquisition of Syft Analytics, to accelerate our mission to provide powerful insights.",Annual salary plus employee share program!,4d ago,https://www.seek.com.au/job/80791860?type=standout&ref=search-standalone
Team Lead - Engineering (Syft Integration),Xero,Engineering - Software,Full time job,Sydney NSW,"['Build a new engineering team from scratch!', 'Take ownership of software delivery and people leadership!', 'Join Xero for great benefits, true flexibility, and a people-first work culture!']","Help to ensure a smooth integration of our recent acquisition of Syft Analytics, to accelerate our mission to provide powerful insights.",Annual salary plus employee share program!,4d ago,https://www.seek.com.au/job/80791845?type=standout&ref=search-standalone
Oracle Apex Developer,Resolve Recruit,Developers/Programmers,Contract/Temp job,Sydney NSW,"['5 + 12 + 12 + 12-month contract', 'Work from any state in Australia', 'Drive innovation in marine data technology']","Gain exclusive access to coworking spaces, membership in our corporate benefits program, and benefit from our transparent agency fees.",AUD 110 - 130 per hour,4d ago,https://www.seek.com.au/job/80791680?type=standout&ref=search-standalone
Web administrator,PACO FLOORS PTY LTD,Web Development & Production,Full time job,Lidcombe,[],Manage and enhance PACO FLOORS' online presence. Join a collaborative team with career growth opportunities.,"$75,000 – $80,000 per year",4d ago,https://www.seek.com.au/job/80790274?type=standard&ref=search-standalone
Test Analyst - (COBOL experience),Randstad Digital,Testing & Quality Assurance,Contract/Temp job,Sydney NSW,[],"Mainframe Test Analyst with COBOL Expertise
**Role is open to all major cities across Australia**
**Must be a Australian Citizen**",Including Superannuation,4d ago,https://www.seek.com.au/job/80791416?type=standout&ref=search-standalone
"Senior Associate, Finance & Strategy",DoorDash,Analysis & Reporting,Full time job,Sydney NSW,[],The Finance & Strategy team is responsible for accelerating the growth of our business by identifying and implementing new opportunities and soluti...,Not Provided,4d ago,https://www.seek.com.au/job/80792617?type=standard&ref=search-standalone
People Soft Test Analyst,PRA,Business/Systems Analysts,Full time job,Sydney NSW,"['$800 + super per day (doe)', '6 Month Contract (likely to be extended)', 'Start on the 6th of January']",PeopleSoft | 6 Month Contract | $800 per day + super,$800 + super per day,4d ago,https://www.seek.com.au/job/80791350?type=standout&ref=search-standalone
"Senior Analyst, Data Governance",AMP Services,Business/Systems Analysts,Full time job,Sydney NSW,"['Critical role in data governance for Superannuation & Investments', 'Opportunity to work with cutting-edge investment management systems', 'Flexible working arrangements available']",Play a critical role in ensuring the integrity and compliance of data management across AMP Investments.,Not Provided,4d ago,https://www.seek.com.au/job/80791307?type=standout&ref=search-standalone
IT System Analyst,Randstad Digital,Business/Systems Analysts,Contract/Temp job,Sydney NSW,[],"IT System Analyst with COBOL Expertise
**Role is open to all major cities across Australia**
**Must be a Australian Citizen**",Including Superannuation,4d ago,https://www.seek.com.au/job/80791296?type=standout&ref=search-standalone
IT Application Developer - (COBOL),Randstad Digital,Developers/Programmers,Contract/Temp job,Sydney NSW,[],"IT Application Developer- (Mainframe COBOL Developer)
**Role open to all major cities across Australia**
**Must be a Australian Citizen**",Including Superannuation,4d ago,https://www.seek.com.au/job/80791127?type=standout&ref=search-standalone
"Senior Analyst, Group Pricing",MLC Life Insurance,Actuarial,Full time job,North Sydney,"['Enjoy the flexibility of a hybrid working model in office and at home!', 'Require a degree in actuarial studies, mathematics or data analytics', 'Minimum 2 years of experience in actuarial or data analytics fields']",We currently have an opportunity to join our Pricing & Insurance Sustainability team as a Senior Analyst in Group Pricing in a permanent position.,Not Provided,4d ago,https://www.seek.com.au/job/80791117?type=standout&ref=search-standalone
Legal Editor,RELX,Generalists - Law Firm,Full time job,Sydney NSW,"['Work-life balance', 'Be part of a global player in legal solutions.', 'Exposure to leading-edge technology and software tools in legal.']",Combine your love of the law with a passion for editorial excellence as a Legal Editor with LexisNexis,Not Provided,4d ago,https://www.seek.com.au/job/80791037?type=standout&ref=search-standalone
Production Planner (MRP Systems),Wabtec Australia,"Production, Planning & Scheduling",Full time job,Sydney NSW,[],"Wabtec is looking for a Production planner with solid experience in MRP Systems, available to work from any location within Australia.",Not Provided,4d ago,https://www.seek.com.au/job/80790947?type=standout&ref=search-standalone
Technical Business Analyst,FourQuarters Recruitment,Business/Systems Analysts,Full time job,Sydney NSW,[],Digital Business Analyst - Product experience - 6 month Day Rate,Not Provided,4d ago,https://www.seek.com.au/job/80790798?type=standard&ref=search-standalone
Automotive Warranty Administrator,Chery Motor Australia Pty Ltd,Automotive Trades,Full time job,Rhodes,[],You will play a crucial role in supporting our dealership network by ensuring the efficient execution of the warranty process,Not Provided,4d ago,https://www.seek.com.au/job/80790529?type=standout&ref=search-standalone
"Analyst, Risk, Quality and Complaints",SS&C Solutions Pty Ltd,Superannuation,Full time job,Sydney NSW,"['Great Career Opportunity', 'Inclusive Organisation', 'Global Company']","Seeking a proactive Analyst to manage risk, quality, and complaints for Super clients, ensuring control assurance and fostering a strong risk culture.",Not Provided,4d ago,https://www.seek.com.au/job/80790364?type=standout&ref=search-standalone
Graduate Speech Pathologist - Paediatric,Leapfrog Therapy,Speech Therapy,Full time job,Hunters Hill,[],"At Leapfrog, our focus on well-being and development ensures our team provides exceptional paediatric speech pathology services.",Not Provided,4d ago,https://www.seek.com.au/job/80790115?type=standout&ref=search-standalone
Statistician,Australia and New Zealand Transplant and Celular Therapies,"Mathematics, Statistics & Information Sciences",Full time job,Darlinghurst,"['Make a Difference: Support life-saving stem cell and cellular therapies', 'Global Reach: Present research internationally and publish in top journal', 'Flexibility & Growth: Sydney/Hybrid role with opportunities to advance']","Statistician role: Analyze data for life-saving therapies, global research impact, and innovation. Sydney/Hybrid. Join ANZTCT and make a difference!",Not Provided,4d ago,https://www.seek.com.au/job/80787682?type=standout&ref=search-standalone
Cyber Security Analyst,Australian Digital Health Agency,Security,Full time job,Sydney NSW,"['Apply your data analytical skills in Cyber Threat Analysis field', 'Flexible working arrangements', 'Supportive team and learning environment']","Provide specialist, technical and administrative support for the Agency’s Cyber Security functions","Between $78,723 - $83,18 plus 15.4% super",4d ago,https://www.seek.com.au/job/80789911?type=standout&ref=search-standalone
Business Development Advisor - Global Markets,FB Rice,New Business Development,Full time job,Sydney NSW,"['Top tier, privately owned intellectual property (IP) firm', 'Hybrid working with a collaborative team', 'Make a meaningful impact at FB Rice']",Are you a strategic thinker with a passion for driving client growth and expansion in international markets? Apply now.,Not Provided,4d ago,https://www.seek.com.au/job/80789883?type=standout&ref=search-standalone
Plumbers Technical Support,GWA Group Limited,Customer Service - Call Centre,Full time job,Prestons,"['Prestons location | Free parking | Permanent full-time | Hybrid WFH option', 'Advance your Customer Service career | Enjoy training and career development', 'Work with iconic and heritage brands | Caroma, Methven, Dorf, Clark']","Work with iconic brands and be the go-to for plumbers, providing technical support, troubleshooting, and guidance on the maintenance of GWA products.",Base Salary + Superannuation + STI Bonus + Laptop,4d ago,https://www.seek.com.au/job/80789391?type=standout&ref=search-standalone
Store Manager -Chullora,Bay Audio Pty Ltd,Management - Store,Full time job,Chullora,"['Leading retail hearing health provider', 'Full time opportunity', 'Local position in Chullora']",Join Australia's leading retail hearing health provider!,$6100+Super,4d ago,https://www.seek.com.au/job/80789075?type=standout&ref=search-standalone
Senior Business Analyst,NSW Department of Customer Service,Business/Systems Analysts,Full time job,Sydney NSW,[],We are looking for an experienced Senior Business Analyst who has Drupal10 and Scaled Agile (SAFe) specialist skill to join our Digital Chanels team.,"$125,693.00 - $138,510.00 p.a",4d ago,https://www.seek.com.au/job/80788555?type=standard&ref=search-standalone
Business Development Manager (Data Services),Magentus,New Business Development,Full time job,Sydney NSW,"['Flexible work arrangements: hybrid or remote in Sydney, Brisbane or Melbourne', 'All kinds of leave - parental, pawrental, volunteer, birthday & lots more.', 'Work autonomously in a new and exciting business opportunity']",Build market position and work to identify opportunities that are aligned with the increasing capabilities and offering of Data Management Services.,Not Provided,4d ago,https://www.seek.com.au/job/80142456?type=standout&ref=search-standalone
Digital Product Manager,HCF Australia,Product Management & Development,Full time job,Sydney NSW,[],"Reporting to the Digital Product Lead, the Digital Product Manager will play a key role to drive HCF's broader digital strategy",$130k - $150k p.a.,4d ago,https://www.seek.com.au/job/80788420?type=standout&ref=search-standalone
DIRECTOR - ENTERPRISE ENABLING SYSTEMS,CQUniversity,Management,Full time job,Sydney NSW,"['Attractive Remuneration!', '17% superannuation (with a choice of joining an award-winning superfund).', 'Relocation support package!']",CQUniversity’s Digital Services Directorate is seeking a digital leader who is passionate about contributing to our goals.,Not Provided,5d ago,https://www.seek.com.au/job/80788294?type=standout&ref=search-standalone
Application Support Specialist,Vela APX,Help Desk & IT Support,Full time job,Surry Hills,"['Flexible and supportive team', 'Hybrid work arrangements available', 'Opportunities for professional development']",You'll be responsible for providing technical support & troubleshooting the Infocouncil product suite. Understanding of Governance processes is key.,Not Provided,5d ago,https://www.seek.com.au/job/80788163?type=standout&ref=search-standalone
Senior Business Analyst - Life Insurance,ClearView Wealth Limited,Business/Systems Analysts,Full time job,Sydney NSW,"['ASX listed growing Life Insurer', 'Progression opportunities and access to 6,000 LinkedIn Learning courses', 'Flat structured organisation with hybrid work']","You’ll provide vital business analysis, develop system requirements, and define acceptance criteria to support ClearView’s life insurance products",Not Provided,5d ago,https://www.seek.com.au/job/80787897?type=standout&ref=search-standalone
Automation Test Analyst,Aurec,Testing & Quality Assurance,Contract/Temp job,Sydney NSW,[],A fantastic 6-month contract opportunity for an Automation Tester within a NSW Government department delivering on a major piece of work.,$800 p.d + Super,5d ago,https://www.seek.com.au/job/80787708?type=standard&ref=search-standalone
"NSW/ACT Key Account Manager, Symbion Hospitals",EBOS Group Ltd,Account & Relationship Management,Full time job,Greystanes,"['Dynamic Team Culture', 'Fantastic opportunity for growth and development', 'Join an ASX listed company']","Are you passionate about making a difference in the healthcare industry and thrive in dynamic, fast-paced environment, we would love to hear from you!",Base Salary + Super,5d ago,https://www.seek.com.au/job/80787612?type=standout&ref=search-standalone
